epoch,accuracy,learning_rate,loss,val_accuracy,val_loss
0,0.5254027247428894,9.999999747378752e-06,1.9606133699417114,0.6968421339988708,1.6553558111190796
0,0.524163544178009,9.999999747378752e-06,1.9097758531570435,0.6968421339988708,1.6461753845214844
1,0.5446096658706665,9.999999747378752e-06,1.8744183778762817,0.6968421339988708,1.6570734977722168
2,0.586741030216217,9.999999747378752e-06,1.8147907257080078,0.6968421339988708,1.7460373640060425
3,0.6146220564842224,9.999999747378752e-06,1.732485055923462,0.6968421339988708,1.8453999757766724
4,0.6325898170471191,9.999999747378752e-06,1.704775094985962,0.6968421339988708,2.0049209594726562
5,0.6288723945617676,9.999999747378752e-06,1.6993145942687988,0.6968421339988708,2.0241198539733887
6,0.6610904335975647,9.999999747378752e-06,1.630570411682129,0.6968421339988708,1.9439070224761963
7,0.6685253977775574,9.999999747378752e-06,1.6113677024841309,0.6968421339988708,1.8900573253631592
8,0.7087979912757874,9.999999747378752e-06,1.5734660625457764,0.6968421339988708,1.8254319429397583
9,0.6852540373802185,9.999999747378752e-06,1.5726267099380493,0.6968421339988708,1.6645694971084595
10,0.7044609785079956,9.999999747378752e-06,1.5472602844238281,0.6989473700523376,1.578805923461914
11,0.7304832935333252,8.999999408842996e-06,1.4881069660186768,0.6968421339988708,1.61624276638031
12,0.7503097653388977,8.099999831756577e-06,1.4506046772003174,0.7494736909866333,1.4949086904525757
13,0.7360594868659973,7.289999757631449e-06,1.4579689502716064,0.7978947162628174,1.446293592453003
14,0.7602230310440063,6.560999736393569e-06,1.4495601654052734,0.6084210276603699,1.69352126121521
15,0.7819082736968994,5.904899808228947e-06,1.4023300409317017,0.8021052479743958,1.4098886251449585
16,0.7881041169166565,5.314409918355523e-06,1.3980188369750977,0.6800000071525574,1.5934369564056396
0,0.5216852426528931,0.0010000000474974513,1.109118938446045,0.6968421339988708,0.8881977796554565
1,0.5631970167160034,0.0010000000474974513,1.0065250396728516,0.6968421339988708,0.8855939507484436
2,0.5885997414588928,0.0010000000474974513,0.940137505531311,0.6968421339988708,0.8456811308860779
3,0.5997521877288818,0.0010000000474974513,0.8960880637168884,0.30315789580345154,0.9706382155418396
4,0.6363072991371155,0.0010000000474974513,0.8463857173919678,0.30315789580345154,1.0058526992797852
5,0.6369268894195557,0.0010000000474974513,0.844145655632019,0.30315789580345154,1.4035204648971558
